city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
Scarborough,1840052990,2019-11-10 22:06:24,2,,[],1193651146579234816,43.5911,-70.3682,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
Scarborough,1840052990,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.5911,-70.3682,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
Scarborough,1840052990,2019-09-21 07:39:13,1,,[],1175313518817632257,43.5911,-70.3682,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
Saco,1840000343,2019-11-10 22:06:24,2,,[],1193651146579234816,43.539,-70.4624,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
Saco,1840000343,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.539,-70.4624,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
Saco,1840000343,2019-09-21 07:39:13,1,,[],1175313518817632257,43.539,-70.4624,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
Westbrook,1840000329,2019-11-10 22:06:24,2,,[],1193651146579234816,43.6954,-70.3539,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
Westbrook,1840000329,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.6954,-70.3539,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
Westbrook,1840000329,2019-09-21 07:39:13,1,,[],1175313518817632257,43.6954,-70.3539,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
Westbrook,1840000329,2019-08-18 11:25:36,1,,SFNeighborhoodAssist,1163049299703451648,43.6954,-70.3539,,https://twitter.com/GMSALTED/status/1163049299703451648,0,2,"Day #5! KEEP VOTING! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
Westbrook,1840000329,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.6954,-70.3539,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
Westbrook,1840000329,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.6954,-70.3539,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
Westbrook,1840000329,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.6954,-70.3539,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
