,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
46,46,2019-11-01 00:47:43,ItsRACoon,,1,0,4,"I’d like to thank the Shorebirds for the opportunity. On Mon, Nov. 4th I will start my new position as New Business Acquisition/Marketing Assistant at Kim Benton - State Farm Insurance. I’m excited for this new opportunity to serve my community and make new connections!",,,[],1190067861311676417,https://twitter.com/ItsRACoon/status/1190067861311676417,1840006082,Ocean View,38.5357,-75.0991
47,47,2019-07-11 20:56:49,amergezz,,0,0,0,Omg @MrMuselk I saw a State Farm ad on a billboard and it said Be a Legend and then someone wrote over the rest “And Use Code Muselk in the Item Shop” in graffiti I couldn’t get a pic but I had to tell you ,,,[],1149422315781754880,https://twitter.com/amergezz/status/1149422315781754880,1840006082,Ocean View,38.5357,-75.0991
48,48,2019-06-28 04:36:28,Chuckles152,,1,0,1,GM State Farm Blue Cross Blue Shield Bryn Mawr Health Citi Card Fed Loan,,,[],1144464558800568322,https://twitter.com/Chuckles152/status/1144464558800568322,1840006082,Ocean View,38.5357,-75.0991
49,49,2019-10-11 20:03:06,SF_DwayneRedd,,0,1,7,Appreciate @6abc for spending time w/ us. #goodneighbor to @mattiecstewart @CISNational @StateFarm @RedClaySchools. Working together to help students make the right choice. #TheChoiceBus #DE – at Thomas McKean High School,,@6abc @mattiecstewart @CISNational @StateFarm @RedClaySchools,goodneighbor TheChoiceBus DE,1182748480663625728,https://twitter.com/SF_DwayneRedd/status/1182748480663625728,1840005573,Hockessin,39.7837,-75.6815
50,50,2019-10-11 13:28:48,SF_DwayneRedd,,0,2,5,Day 5 is here! #TheChoiceBus has been and will always be #goodneighbor to #DE @StateFarm @CISNational. TY @mattiecstewart for a great visit. – at Thomas McKean High School,,@StateFarm @CISNational @mattiecstewart,TheChoiceBus goodneighbor DE,1182649250502586368,https://twitter.com/SF_DwayneRedd/status/1182649250502586368,1840005573,Hockessin,39.7837,-75.6815
51,51,2019-10-09 13:56:07,SF_DwayneRedd,nicoleAalvarez,0,0,2,We appreciate you for spending your morning with us. Means a lot to have your support. Please tell state Senator @SokolaDavid we said thank you and hello. @SF_MariaJ @StateFarm – at George Read Middle School,,@SokolaDavid @SF_MariaJ @StateFarm,[],1181931350594609152,https://twitter.com/SF_DwayneRedd/status/1181931350594609152,1840005573,Hockessin,39.7837,-75.6815
52,52,2019-09-27 17:57:26,Tobster60,NBCSCubs,0,0,0,@bryceharper3 Grand Slam in the 9th. ,,@bryceharper3,[],1177643422980681728,https://twitter.com/Tobster60/status/1177643422980681728,1840005573,Hockessin,39.7837,-75.6815
53,53,2019-08-08 01:21:32,Iwent2Jordan,,0,0,1,Thank god for StateFarm car insurance,,,[],1159273402240249856,https://twitter.com/Iwent2Jordan/status/1159273402240249856,1840005573,Hockessin,39.7837,-75.6815
54,54,2019-12-25 18:59:57,MeshuggahJr,milkinhisbag,0,1,1,"Ride a cowboy, but the cowboy is Jake from State Farm collecting his insurance claim",,,[],1209911678080561153,https://twitter.com/MeshuggahJr/status/1209911678080561153,1840005569,Brookside,39.6666,-75.7153
55,55,2019-10-11 20:03:06,SF_DwayneRedd,,0,1,7,Appreciate @6abc for spending time w/ us. #goodneighbor to @mattiecstewart @CISNational @StateFarm @RedClaySchools. Working together to help students make the right choice. #TheChoiceBus #DE – at Thomas McKean High School,,@6abc @mattiecstewart @CISNational @StateFarm @RedClaySchools,goodneighbor TheChoiceBus DE,1182748480663625728,https://twitter.com/SF_DwayneRedd/status/1182748480663625728,1840005569,Brookside,39.6666,-75.7153
56,56,2019-10-11 13:28:48,SF_DwayneRedd,,0,2,5,Day 5 is here! #TheChoiceBus has been and will always be #goodneighbor to #DE @StateFarm @CISNational. TY @mattiecstewart for a great visit. – at Thomas McKean High School,,@StateFarm @CISNational @mattiecstewart,TheChoiceBus goodneighbor DE,1182649250502586368,https://twitter.com/SF_DwayneRedd/status/1182649250502586368,1840005569,Brookside,39.6666,-75.7153
57,57,2019-10-09 13:56:07,SF_DwayneRedd,nicoleAalvarez,0,0,2,We appreciate you for spending your morning with us. Means a lot to have your support. Please tell state Senator @SokolaDavid we said thank you and hello. @SF_MariaJ @StateFarm – at George Read Middle School,,@SokolaDavid @SF_MariaJ @StateFarm,[],1181931350594609152,https://twitter.com/SF_DwayneRedd/status/1181931350594609152,1840005569,Brookside,39.6666,-75.7153
58,58,2019-10-07 18:52:40,SF_DwayneRedd,,0,1,10,We can’t change futures by ourselves. Sometimes you need #goodneighbors to help you. @StateFarm #DE agents #JackieBrady #ZachPhillippe #RobMullen #BrianDawson were just that today. #HereToHelp @JakeStateFarm let’s send them BIG TY! – at Gunning Bedford Middle School,,@StateFarm @JakeStateFarm,goodneighbors DE JackieBrady ZachPhillippe RobMullen BrianDawson HereToHelp,1181281202281570305,https://twitter.com/SF_DwayneRedd/status/1181281202281570305,1840005569,Brookside,39.6666,-75.7153
59,59,2019-09-27 17:57:26,Tobster60,NBCSCubs,0,0,0,@bryceharper3 Grand Slam in the 9th. ,,@bryceharper3,[],1177643422980681728,https://twitter.com/Tobster60/status/1177643422980681728,1840005569,Brookside,39.6666,-75.7153
60,60,2019-08-08 01:21:32,Iwent2Jordan,,0,0,1,Thank god for StateFarm car insurance,,,[],1159273402240249856,https://twitter.com/Iwent2Jordan/status/1159273402240249856,1840005569,Brookside,39.6666,-75.7153
61,61,2019-12-06 23:31:32,SF_DwayneRedd,,0,1,8,They’re at again!!! @StateFarm VPA Hope and her Sales Leaders helping life go right in #MD. They spent the day w/ #ChristmasInApril and let them know we got their back. #goodneighbors always help #goodneighbors. #HereToHelp #GiveBackFriday,,@StateFarm,MD ChristmasInApril goodneighbors goodneighbors HereToHelp GiveBackFriday,1203094654457176064,https://twitter.com/SF_DwayneRedd/status/1203094654457176064,1840005820,Smyrna,39.2922,-75.6076
