,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-01-12 14:49:30,DDBakeryVT,,0,0,0,Did you know your State Farm Insurance card could get you 20% off whole cakes and pies - everyday? #statefarm #richjones #communityoffers #centralvermont #bakery @Delicate Decadence https://www.instagram.com/p/BsidezKAG5k/?utm_source=ig_twitter_share&amp;igshid=1nfvhdtim0lp8,,,statefarm richjones communityoffers centralvermont bakery,1084100059803893760,https://twitter.com/DDBakeryVT/status/1084100059803893760,1840002187,Montpelier,44.2658,-72.5717
1,1,2019-01-12 14:49:30,DDBakeryVT,,0,0,0,Did you know your State Farm Insurance card could get you 20% off whole cakes and pies - everyday? #statefarm #richjones #communityoffers #centralvermont #bakery @Delicate Decadence https://www.instagram.com/p/BsidezKAG5k/?utm_source=ig_twitter_share&amp;igshid=1nfvhdtim0lp8,,,statefarm richjones communityoffers centralvermont bakery,1084100059803893760,https://twitter.com/DDBakeryVT/status/1084100059803893760,1840002186,Barre,44.1997,-72.5083
2,2,2019-10-15 15:47:31,BrokeAssMFA,,0,0,0,"Like a good neighbor, @StateFarm has a key to your house.",,@StateFarm,[],1184133711262035972,https://twitter.com/BrokeAssMFA/status/1184133711262035972,1840070579,Hartford,43.6644,-72.3866
3,3,2019-09-27 04:14:10,lakejadue,McJesse,1,0,8,Jake? Like Jake from State Farm Please fucking die ,,,[],1177436241937281024,https://twitter.com/lakejadue/status/1177436241937281024,1840070579,Hartford,43.6644,-72.3866
4,4,2019-07-05 06:39:00,docdebags,ladydog44,1,0,1,Sour . Peyton is doing State Farm commercials while Tom is playing football and keeping graciously silent as idiots like this undermine his achievements.,,,[],1147032108961017856,https://twitter.com/docdebags/status/1147032108961017856,1840070579,Hartford,43.6644,-72.3866
5,5,2019-06-27 01:02:11,JacobHoule2,,0,0,0,I’m jake from State Farm. What are you wearing jake from State Farm? Uhh khakis. She sounds hideous. Well she’s a guy so...! ,,,[],1144048244554653698,https://twitter.com/JacobHoule2/status/1144048244554653698,1840070579,Hartford,43.6644,-72.3866
6,6,2019-01-12 14:49:30,DDBakeryVT,,0,0,0,Did you know your State Farm Insurance card could get you 20% off whole cakes and pies - everyday? #statefarm #richjones #communityoffers #centralvermont #bakery @Delicate Decadence https://www.instagram.com/p/BsidezKAG5k/?utm_source=ig_twitter_share&amp;igshid=1nfvhdtim0lp8,,,statefarm richjones communityoffers centralvermont bakery,1084100059803893760,https://twitter.com/DDBakeryVT/status/1084100059803893760,1840070960,Northfield,44.1453,-72.6841
