,Unnamed: 0,Unnamed: 0.1,city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
49,49,,Falmouth,1840052817,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.7476,-70.2827,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
50,50,,Falmouth,1840052817,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.7476,-70.2827,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
51,51,,Falmouth,1840052817,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.7476,-70.2827,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
52,52,,Falmouth,1840052817,2019-07-12 02:18:21,1,,[],1149503228586811394,43.7476,-70.2827,@CP3,https://twitter.com/bencampo/status/1149503228586811394,0,0,Which OKC player will join @CP3 in the State Farm Commercials?,PeterVecsey1,bencampo
53,53,,Standish,1840053009,2019-08-18 11:25:36,1,,SFNeighborhoodAssist,1163049299703451648,43.7811,-70.5685,,https://twitter.com/GMSALTED/status/1163049299703451648,0,2,"Day #5! KEEP VOTING! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
54,54,,Standish,1840053009,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.7811,-70.5685,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
55,55,,Standish,1840053009,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.7811,-70.5685,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
56,56,,Standish,1840053009,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.7811,-70.5685,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
57,57,,Kittery,1840052873,2019-10-17 13:29:17,1,,[],1184823700992024577,43.0998,-70.7126,,https://twitter.com/mjgoodwinart/status/1184823700992024577,0,0,"O shit! Hope y’all are good, I feel like I saw this in a State Farm commercial",AdamdeGrandis,mjgoodwinart
58,58,,Kittery,1840052873,2019-03-26 14:10:54,1,,CamelFever,1110544659938455553,43.0998,-70.7126,@Sillysully7,https://twitter.com/scottjoy/status/1110544659938455553,0,0,@Sillysully7 What do you think? #CamelFever,StateFarm,scottjoy
