,Unnamed: 0,Unnamed: 0.1,city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
24,24,,Westbrook,1840000329,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.6954,-70.3539,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
25,25,,Westbrook,1840000329,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.6954,-70.3539,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
26,26,,Westbrook,1840000329,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.6954,-70.3539,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
27,27,,Westbrook,1840000329,2019-07-12 02:18:21,1,,[],1149503228586811394,43.6954,-70.3539,@CP3,https://twitter.com/bencampo/status/1149503228586811394,0,0,Which OKC player will join @CP3 in the State Farm Commercials?,PeterVecsey1,bencampo
28,28,,Windham,1840066537,2019-11-10 22:06:24,2,,[],1193651146579234816,43.7981,-70.4056,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
29,29,,Windham,1840066537,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.7981,-70.4056,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
30,30,,Windham,1840066537,2019-09-21 07:39:13,1,,[],1175313518817632257,43.7981,-70.4056,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
31,31,,Windham,1840066537,2019-08-18 11:25:36,1,,SFNeighborhoodAssist,1163049299703451648,43.7981,-70.4056,,https://twitter.com/GMSALTED/status/1163049299703451648,0,2,"Day #5! KEEP VOTING! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
32,32,,Windham,1840066537,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.7981,-70.4056,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
33,33,,Windham,1840066537,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.7981,-70.4056,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
34,34,,Windham,1840066537,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.7981,-70.4056,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
35,35,,Windham,1840066537,2019-07-12 02:18:21,1,,[],1149503228586811394,43.7981,-70.4056,@CP3,https://twitter.com/bencampo/status/1149503228586811394,0,0,Which OKC player will join @CP3 in the State Farm Commercials?,PeterVecsey1,bencampo
36,36,,Gorham,1840052834,2019-11-10 22:06:24,2,,[],1193651146579234816,43.7034,-70.4581,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
37,37,,Gorham,1840052834,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.7034,-70.4581,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
38,38,,Gorham,1840052834,2019-09-21 07:39:13,1,,[],1175313518817632257,43.7034,-70.4581,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
39,39,,Gorham,1840052834,2019-08-18 11:25:36,1,,SFNeighborhoodAssist,1163049299703451648,43.7034,-70.4581,,https://twitter.com/GMSALTED/status/1163049299703451648,0,2,"Day #5! KEEP VOTING! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
40,40,,Gorham,1840052834,2019-08-16 09:29:50,3,,SFNeighborhoodAssist,1162295392316329984,43.7034,-70.4581,@hperrysup,https://twitter.com/GMSALTED/status/1162295392316329984,0,1,Day #3! 1 in 5 children in Maine are food insecure & Gorham does not escape that statistic! VOTE TODAY! With your help we could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23 #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup,,GMSALTED
41,41,,Gorham,1840052834,2019-08-15 10:10:53,0,,SFNeighborhoodAssist,1161943336351162368,43.7034,-70.4581,,https://twitter.com/GMSALTED/status/1161943336351162368,0,2,"Day #2!!! PLEASE VOTE! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
42,42,,Gorham,1840052834,2019-08-14 10:13:01,4,,SFNeighborhoodAssist,1161581481568931840,43.7034,-70.4581,@hperrysup @briley8557 @MAINETOY,https://twitter.com/GMSALTED/status/1161581481568931840,0,3,VOTE TODAY! Our grant for Gorham’s BackPack Program and GMS Garden could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987 @hperrysup @briley8557 @MAINETOY,,GMSALTED
43,43,,Gorham,1840052834,2019-07-12 02:18:21,1,,[],1149503228586811394,43.7034,-70.4581,@CP3,https://twitter.com/bencampo/status/1149503228586811394,0,0,Which OKC player will join @CP3 in the State Farm Commercials?,PeterVecsey1,bencampo
44,44,,York,1840066551,2019-10-17 13:29:17,1,,[],1184823700992024577,43.18600000000001,-70.6661,,https://twitter.com/mjgoodwinart/status/1184823700992024577,0,0,"O shit! Hope y’all are good, I feel like I saw this in a State Farm commercial",AdamdeGrandis,mjgoodwinart
45,45,,Falmouth,1840052817,2019-11-10 22:06:24,2,,[],1193651146579234816,43.7476,-70.2827,,https://twitter.com/mtrem2/status/1193651146579234816,0,0,State Farm is rapidly catching up to Progressive and Geico when it comes to really annoying commercials,,mtrem2
46,46,,Falmouth,1840052817,2019-09-22 15:30:33,0,,SesameStreet,1175794519478034432,43.7476,-70.2827,@StateFarm,https://twitter.com/LeanneCalderLib/status/1175794519478034432,0,0,@StateFarm love the #SesameStreet ads keep em comin!!!,,LeanneCalderLib
47,47,,Falmouth,1840052817,2019-09-21 07:39:13,1,,[],1175313518817632257,43.7476,-70.2827,,https://twitter.com/BibleOfKate/status/1175313518817632257,0,0,This is powerful. I think you should bring this up to State Farm as a company. Mr. Coleman deserves a lot of public recognition for his abusive and atrocious behavior.,hooligantactix,BibleOfKate
48,48,,Falmouth,1840052817,2019-08-18 11:25:36,1,,SFNeighborhoodAssist,1163049299703451648,43.7476,-70.2827,,https://twitter.com/GMSALTED/status/1163049299703451648,0,2,"Day #5! KEEP VOTING! With your help, Fighting Food Insecurity in Gorham, Maine! could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023987",,GMSALTED
