date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-03-31 23:58:58,StateFarm,SlashedBeauty,1,0,0,"Hi Miranda! We apologize for the inconvenience. Is the insurance in his name perhaps? - Megan",,,,1112504592753938442,https://twitter.com/StateFarm/status/1112504592753938442
2019-03-31 23:46:42,JSekyere,,0,0,0,"#NWLive @Lakers v @PelicansNBA in @NBA @@SmoothieKingCtr on @DStv @@iCafe_Prints #LakeShow x #DoItBig @WishShopping @nikebasketball @Spalding @Kia @redbull @Zatarains @SmoothieKing @HancockWhitney @Gatorade @TISSOT @StateFarm #NBALIVE19 @EASPORTSNBA #NBACares #SSBasketball",,@Lakers @PelicansNBA @NBA @SmoothieKingCtr @DStv @iCafe_Prints @WishShopping @nikebasketball @Spalding @Kia @redbull @Zatarains @SmoothieKing @HancockWhitney @Gatorade @TISSOT @StateFarm @EASPORTSNBA,#NWLive #LakeShow #LakeShow #DoItBig #NBALIVE19 #NBACares #SSBasketball,1112501502516563968,https://twitter.com/JSekyere/status/1112501502516563968
2019-03-31 23:45:53,SlashedBeauty,,1,0,1,".@StateFarm Wondering why I submit a claim under MY account, MY name an MY email, and I get no notice but my HUSBAND gets the confirmation email??? His email is nowhere even in my account for notifications. 1940s called....",,@StateFarm,,1112501300552335360,https://twitter.com/SlashedBeauty/status/1112501300552335360
2019-03-31 23:45:46,statefarmsedona,,0,0,0,"Helping customers with life insurance is one of the most meaningful things that I do. It's an honor State Farm® has been recognized for it five years in a row. Let’s look at your protection and I can help you determine if you have what you need. ",,,,1112501268902080513,https://twitter.com/statefarmsedona/status/1112501268902080513
2019-03-31 23:45:21,ediewilliams1,,0,0,0,"Ever wonder if your pets understand you? State Farm is working with Fear Free to teach pet owners how to communicate in ways pets understand, keeping them healthier and happier. #HereToHelp",,,#HereToHelp,1112501166124855298,https://twitter.com/ediewilliams1/status/1112501166124855298
2019-03-31 23:45:16,SFAgentPaulaR,,0,0,0,"Attention @StateFarm drivers: Drive Safe &amp; Save has gotten a total redesign! Make sure your app is updated, then log in to activate the new features like trip maps and driving feedback after each trip. Not part of this discount program yet? Text SAVE to 78836 to enroll. ",,@StateFarm,,1112501143307874306,https://twitter.com/SFAgentPaulaR/status/1112501143307874306
2019-03-31 23:44:00,lairtoo,,0,0,0,"Great time at the Hawks game. #livingmybestlife @State Farm Arena https://www.instagram.com/p/BvsQpwHBQvZ/?utm_source=ig_twitter_share&amp;igshid=150l8c64h1unz",,,#livingmybestlife,1112500826596007937,https://twitter.com/lairtoo/status/1112500826596007937
2019-03-31 23:42:47,kimwing1015,,0,0,0,"I rated @_MAXWELL_ at State Farm Arena ★★★ via Bandsintown ",,@_MAXWELL_,,1112500519183007744,https://twitter.com/kimwing1015/status/1112500519183007744
2019-03-31 23:42:17,violue,,2,0,4,"this state farm commercial where the white boy bitches about the free hand-me-down car he's given for his birthday is some REAL UNRELATABLE SHIT",,,,1112500394305806336,https://twitter.com/violue/status/1112500394305806336
2019-03-31 23:39:15,IDGSRescuer,,0,0,0,"State Farm invited IDGSR to participate in a program called Quotes for Good. For every person that calls to get a quote on their home, auto, or life insurance, State Farm will donate $10. The quote is free... https://www.facebook.com/ImInDangerGSRescue/posts/2624168914322542",,,,1112499628883226625,https://twitter.com/IDGSRescuer/status/1112499628883226625
2019-03-31 23:39:14,jache_statefarm,,11,9,102,"oh I said ;))",,,,1112499625754128385,https://twitter.com/jache_statefarm/status/1112499625754128385
2019-03-31 23:33:10,captncoleslaw,Marc_IRL,0,0,0,"""What's your name?"" ""Jake"" ""Oh, is that short for Jacob?"" ""No, it's just Jake."" ""Like from State Farm?"" ""No, like Big Jake, the racist fucking cowboy."" ",,,,1112498100306890752,https://twitter.com/captncoleslaw/status/1112498100306890752
2019-03-31 23:32:58,Jorgeluiscg95,ATLHawks,0,0,0,"#TrueToAtlanta 136-135 In House In State Farm Arena Today In Atlanta vs #FearTheDeer",,,#TrueToAtlanta #TrueToAtlanta #FearTheDeer #FearTheDeer,1112498049341931520,https://twitter.com/Jorgeluiscg95/status/1112498049341931520
2019-03-31 23:31:13,bobnebel,,0,0,0,"Always learning a thing or two while strolling around the arena. @State Farm Arena https://www.instagram.com/p/BvsPM6mge4m/?utm_source=ig_twitter_share&amp;igshid=1aka387949t2g",,,,1112497609229385728,https://twitter.com/bobnebel/status/1112497609229385728
2019-03-31 23:28:00,StateFarm,,0,0,1,"We love to hear that we're making your baby smile, Ruby! - Megan",,,,1112496798243975173,https://twitter.com/StateFarm/status/1112496798243975173
2019-03-31 23:23:00,aepotter,neeratanden,0,0,1,"GOP health care plan is your on your own. We all know how well that works when it's just you and State Farm or Aetna!",,,,1112495539331964928,https://twitter.com/aepotter/status/1112495539331964928
2019-03-31 23:22:01,JordanDavisHill,CamGaskinsTV,1,0,4,"Upside: You can catch him in StateFarm Arena before you know it! ",,,,1112495291717046272,https://twitter.com/JordanDavisHill/status/1112495291717046272
2019-03-31 23:15:20,steve0519,,0,0,0,"State Farm homeowners coverage just got better! Contact me to learn about all the updates and enhancements. ",,,,1112493612133081088,https://twitter.com/steve0519/status/1112493612133081088
2019-03-31 23:15:20,TJStateFarm1,,0,0,0,"This is the first ever State Farm auto policy, which was issued to a local farmer in 1922. We've been here to help protect you ever since! #Throwback #FromTheArchives",,,#Throwback #FromTheArchives,1112493611424186368,https://twitter.com/TJStateFarm1/status/1112493611424186368
2019-03-31 23:15:15,SharonWalterSF,,0,0,0,"Helping families with life insurance is one of the most meaningful things I do. It's an honor @StateFarm has been recognized for the fifth year in a row. Let's get together and talk about your coverage needs. ",,@StateFarm,,1112493591262195713,https://twitter.com/SharonWalterSF/status/1112493591262195713
2019-03-31 23:15:01,ChristywithSF,,0,0,0,"From the late '80s through the early '90s, @StateFarm agents gave customers these pennants and seat cushions. Reply if you had one! #Throwback #FromTheArchives",,@StateFarm,#Throwback #FromTheArchives,1112493530935549952,https://twitter.com/ChristywithSF/status/1112493530935549952
2019-03-31 23:11:57,VivianGonzalez7,,0,1,15,"Janet Romero State Farm Agency opens tomorrow in #CoralSprings. My sister-in-law Janet Hernandez-Romero your office looks phenomenal! Thank you Edible Creations Cakes for her grand opening cake. #likeagoodneighbor #statefarm #family #ediblecreations #sugarart",,,#CoralSprings #likeagoodneighbor #statefarm #family #ediblecreations #sugarart,1112492757233356801,https://twitter.com/VivianGonzalez7/status/1112492757233356801
2019-03-31 23:11:51,BigEFree,DGough94,0,0,0,"Have you seen the ""that doesn't sound right"" State farm ads? #AnnoyingAF",,,#AnnoyingAF,1112492735783682049,https://twitter.com/BigEFree/status/1112492735783682049
2019-03-31 23:01:52,BobOverby,,0,0,0,"43 years ago, several Wisconsin State Farm agents showed their red, white and blue spirit with something we've helped protect since 1922: America's automobiles. ",,,,1112490219402653697,https://twitter.com/BobOverby/status/1112490219402653697
2019-03-31 23:01:41,SFAgentEcker,,0,0,0,"Amen! #sundaysensibilities Bill Ecker - State Farm Agent, http://billecker.com",,,#sundaysensibilities,1112490173508382720,https://twitter.com/SFAgentEcker/status/1112490173508382720
2019-03-31 23:01:38,CindySF1,,0,0,0,"Looking to grow your small business? Community Offers on the @StateFarm mobile app can help! See how you can promote your business to customers in your neighborhood. http://st8.fm/merchantenroll",,@StateFarm,,1112490163794436096,https://twitter.com/CindySF1/status/1112490163794436096
